dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,3,0,COVID,0.1970479704797048,0.36929460580912865,0.2569778633301251,723
covid,3,0,Lung_Opacity,0.5253164556962026,0.20698254364089774,0.29695885509839,1203
covid,3,0,Normal,0.0,0.0,0.0,2038
covid,3,0,Viral Pneumonia,0.08860232945091515,0.79182156133829,0.15937149270482603,269
covid,3,1,COVID,0.19834938101788172,0.9972337482710927,0.33088572739788896,723
covid,3,1,Lung_Opacity,0.8584686774941995,0.30756442227763925,0.4528763769889841,1203
covid,3,1,Normal,0.9880239520958084,0.08096172718351324,0.14965986394557823,2038
covid,3,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,2,COVID,0.40683760683760684,0.9875518672199171,0.576271186440678,723
covid,3,2,Lung_Opacity,0.8389444949954504,0.7664172901080631,0.8010425716768028,1203
covid,3,2,Normal,0.9714726291441789,0.6182531894013739,0.7556221889055472,2038
covid,3,2,Viral Pneumonia,0.9634146341463414,0.2936802973977695,0.45014245014245013,269
covid,3,3,COVID,0.5583398590446359,0.9861687413554634,0.713,723
covid,3,3,Lung_Opacity,0.9070010449320794,0.7215295095594347,0.8037037037037037,1203
covid,3,3,Normal,0.9527377521613832,0.8110893032384691,0.8762258150013252,2038
covid,3,3,Viral Pneumonia,0.9204545454545454,0.9033457249070632,0.9118198874296435,269
covid,3,4,COVID,0.87375,0.966804979253112,0.9179251477347341,723
covid,3,4,Lung_Opacity,0.9011177987962167,0.8711554447215295,0.885883347421809,1203
covid,3,4,Normal,0.939165409753645,0.9165848871442591,0.927737770052148,2038
covid,3,4,Viral Pneumonia,0.9181494661921709,0.9591078066914498,0.9381818181818182,269
covid,3,5,COVID,0.8620689655172413,0.9681881051175657,0.9120521172638436,723
covid,3,5,Lung_Opacity,0.8991525423728813,0.8819617622610141,0.8904741921947126,1203
covid,3,5,Normal,0.9453802960694232,0.9087340529931305,0.9266950212659495,2038
covid,3,5,Viral Pneumonia,0.9219858156028369,0.966542750929368,0.9437386569872959,269
