dataset_name,num_clients,round,global_test_acc,balanced_accuracy,global_test_loss,ce_loss,reg_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,specificity_macro,sensitivity_macro,roc_auc_macro,pr_auc_macro,mean_confidence,mean_entropy,ece,inference_time_sec,training_time_sec,aggregation_time_sec
colon_cancer_or_pathology,3,0,0.4585,0.4585,0.8490340275764465,0.0,0.0,0.4047486547072262,0.4585,0.4047486547072262,0.43503433787466794,0.4585,0.4585,0.4585,0.40009399999999995,0.42350879818010756,0.6646427403986453,0.6131936164328536,0.2061427403986454,42.14250421524048,0.0,0.0
colon_cancer_or_pathology,3,1,0.912,0.9119999999999999,0.21036132645606995,0.0,0.0,0.911313209494324,0.912,0.911313209494324,0.9251700680272108,0.9119999999999999,0.9119999999999999,0.9119999999999999,1.0,1.0,0.9455902372598648,0.12472341831754266,0.03644072878360749,20.089377641677856,0.0,0.0
colon_cancer_or_pathology,3,2,0.9955,0.9955,0.0194208668791689,0.0,0.0,0.9954999088731546,0.9955,0.9954999088731548,0.9955401387512388,0.9955,0.9955,0.9955,0.999996,0.999996015936255,0.9902460858225822,0.027133760755430777,0.0052539141774176805,19.645785093307495,0.0,0.0
colon_cancer_or_pathology,3,3,0.9925,0.9924999999999999,0.019466051349183545,0.0,0.0,0.9924995781012682,0.9925,0.9924995781012682,0.9926108374384237,0.9924999999999999,0.9924999999999999,0.9924999999999999,1.0,1.0,0.9899110134243965,0.028418155051257714,0.0049493224620818805,19.956789016723633,0.0,0.0
colon_cancer_or_pathology,3,4,0.998,0.998,0.005803207642864436,0.0,0.0,0.997999991999968,0.998,0.9979999919999679,0.99800796812749,0.998,0.998,0.998,0.9999939999999999,0.9999940357852882,0.9969344022274017,0.011181792713742443,0.002566560864448581,19.945322275161743,0.0,0.0
colon_cancer_or_pathology,3,5,0.9995,0.9995,0.0034435747559182347,0.0,0.0,0.999499999875,0.9995,0.9994999998749999,0.9995004995004995,0.9995,0.9995,0.9995,1.0,1.0,0.997155963152647,0.010550629372768338,0.0023440368473529364,19.343629121780396,0.0,0.0
