dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,3,0,COVID,0.11764705882352941,0.016597510373443983,0.02909090909090909,723
covid,3,0,Lung_Opacity,0.3446969696969697,0.3782211138819618,0.3606817281014665,1203
covid,3,0,Normal,0.5212536023054755,0.7100098135426889,0.6011632737847944,2038
covid,3,0,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,1,COVID,0.18885691865027465,0.9986168741355463,0.3176418829740431,723
covid,3,1,Lung_Opacity,0.8804780876494024,0.18370739817123857,0.30398899587345257,1203
covid,3,1,Normal,0.9748427672955975,0.0760549558390579,0.14110150204824762,2038
covid,3,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,2,COVID,0.6689386562804285,0.950207468879668,0.7851428571428571,723
covid,3,2,Lung_Opacity,0.8525269262634632,0.8553615960099751,0.8539419087136929,1203
covid,3,2,Normal,0.9510135135135135,0.8287536800785084,0.8856843209229156,2038
covid,3,2,Viral Pneumonia,0.9461883408071748,0.7843866171003717,0.8577235772357723,269
covid,3,3,COVID,0.9056603773584906,0.9294605809128631,0.9174061433447099,723
covid,3,3,Lung_Opacity,0.9223034734917733,0.8387364921030757,0.8785372224640836,1203
covid,3,3,Normal,0.9016933207902164,0.9406280667320903,0.920749279538905,2038
covid,3,3,Viral Pneumonia,0.9372693726937269,0.9442379182156134,0.9407407407407408,269
covid,3,4,COVID,0.7107107107107107,0.9820193637621023,0.8246225319396051,723
covid,3,4,Lung_Opacity,0.9238721804511278,0.8171238570241064,0.8672254080282311,1203
covid,3,4,Normal,0.9416403785488959,0.8788027477919529,0.9091370558375634,2038
covid,3,4,Viral Pneumonia,0.9477611940298507,0.9442379182156134,0.9459962756052142,269
covid,3,5,COVID,0.9410112359550562,0.9266943291839558,0.9337979094076655,723
covid,3,5,Lung_Opacity,0.9565217391304348,0.7680798004987531,0.8520055325034578,1203
covid,3,5,Normal,0.8666085440278989,0.9754661432777233,0.9178208679593721,2038
covid,3,5,Viral Pneumonia,0.9578544061302682,0.929368029739777,0.9433962264150944,269
