dataset,variant,final_accuracy,best_accuracy,final_balanced_accuracy,final_macro_f1,best_macro_f1,final_weighted_f1,final_precision_macro,final_recall_macro,final_specificity_macro,final_sensitivity_macro,final_roc_auc_macro,final_pr_auc_macro,final_ece,final_mean_confidence,final_mean_entropy,final_test_loss,train_ce_loss_final,train_reg_loss_final,train_accuracy_final,training_time_total,training_time_per_round,inference_time_total_sec,inference_time_per_round,secagg_overhead_mean_sec
brain_tumor_mri,gridwise_2x2_lam0.10,0.944643,0.944643,0.944643,0.944273,0.945016,0.944273,0.947414,0.944643,0.981548,0.944643,0.995965,0.989514,0.023005,0.956844,0.118503,0.17903,0.247736,0.020608,0.914621,363.41,70.25,29.382921,5.876584,0.6653
brain_tumor_mri,gridwise_4x4_lam0.10,0.952679,0.952679,0.952679,0.952381,0.952381,0.952381,0.953039,0.952679,0.984226,0.952679,0.996375,0.990505,0.026896,0.936345,0.180381,0.142912,0.27649,0.033306,0.903125,461.93,90.87,31.939477,6.387895,0.643
brain_tumor_mri,gridwise_8x8_lam0.10,0.952679,0.953571,0.952679,0.952899,0.953468,0.952899,0.953871,0.952679,0.984226,0.952679,0.996153,0.98937,0.011917,0.947975,0.138774,0.134262,0.262085,0.041904,0.908036,352.16,68.21,28.137751,5.62755,0.6633
colon_cancer_or_pathology,gridwise_2x2_lam0.10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00181,0.99819,0.00731,0.001982,0.028508,0.007161,0.991,1105.73,220.77,90.143449,18.02869,0.6642
colon_cancer_or_pathology,gridwise_4x4_lam0.10,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.0,1.0,0.002344,0.997156,0.010551,0.003444,0.031657,0.016146,0.98925,1347.35,255.38,98.980903,19.796181,0.677
colon_cancer_or_pathology,gridwise_8x8_lam0.10,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.999984,0.999984,0.00093,0.99857,0.005423,0.003662,0.029562,0.023738,0.990437,1086.96,216.63,89.133281,17.826656,0.6565
covid,gridwise_2x2_lam0.10,0.921332,0.921332,0.933147,0.920844,0.920844,0.921115,0.910212,0.933147,0.969863,0.933147,0.987094,0.973971,0.018932,0.902986,0.27445,0.235833,0.344667,0.011744,0.876152,1251.82,239.07,105.568179,21.113636,0.6625
covid,gridwise_4x4_lam0.10,0.91519,0.920624,0.92419,0.918412,0.926226,0.91546,0.91428,0.92419,0.968828,0.92419,0.987456,0.973022,0.029458,0.886159,0.323122,0.262113,0.348103,0.021957,0.876713,1689.73,331.04,121.792069,24.358414,0.6753
covid,gridwise_8x8_lam0.10,0.905268,0.909993,0.899902,0.911755,0.914358,0.903471,0.930499,0.899902,0.957998,0.899902,0.987257,0.972891,0.013644,0.912879,0.255865,0.256853,0.350328,0.030701,0.874173,1245.83,249.09,104.151716,20.830343,0.6605
