dataset,variant,final_accuracy,best_accuracy,final_balanced_accuracy,final_macro_f1,best_macro_f1,final_weighted_f1,final_precision_macro,final_recall_macro,final_specificity_macro,final_sensitivity_macro,final_roc_auc_macro,final_pr_auc_macro,final_ece,final_mean_confidence,final_mean_entropy,final_test_loss,train_ce_loss_final,train_reg_loss_final,train_accuracy_final,training_time_total,training_time_per_round,inference_time_total_sec,inference_time_per_round,secagg_overhead_mean_sec
brain_tumor_mri,gridwise_4x4_lam0.01,0.959821,0.959821,0.959821,0.959905,0.959905,0.959905,0.960028,0.959821,0.986607,0.959821,0.996667,0.990525,0.030316,0.936629,0.185779,0.133061,0.263409,0.040102,0.909375,362.73,69.79,29.530347,5.906069,0.662
brain_tumor_mri,gridwise_4x4_lam0.10,0.952679,0.952679,0.952679,0.952381,0.952381,0.952381,0.953039,0.952679,0.984226,0.952679,0.996375,0.990505,0.026896,0.936345,0.180381,0.142912,0.27649,0.033306,0.903125,461.93,90.87,31.939477,6.387895,0.643
brain_tumor_mri,gridwise_4x4_lam0.50,0.965179,0.965179,0.965179,0.96514,0.96514,0.96514,0.965135,0.965179,0.988393,0.965179,0.997005,0.991601,0.025473,0.941426,0.16842,0.120362,0.262573,0.016061,0.911942,365.23,70.62,29.742419,5.948484,0.6731
colon_cancer_or_pathology,gridwise_4x4_lam0.01,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.998504,0.9985,0.9985,0.9985,1.0,1.0,0.00217,0.997569,0.008264,0.003092,0.033505,0.04112,0.989125,1116.09,222.15,92.224171,18.444834,0.6558
colon_cancer_or_pathology,gridwise_4x4_lam0.10,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.0,1.0,0.002344,0.997156,0.010551,0.003444,0.031657,0.016146,0.98925,1347.35,255.38,98.980903,19.796181,0.677
colon_cancer_or_pathology,gridwise_4x4_lam0.50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000767,0.999233,0.002777,0.000873,0.029192,0.006422,0.991,1115.23,221.93,91.397609,18.279522,0.6683
covid,gridwise_4x4_lam0.01,0.924167,0.924167,0.930774,0.925839,0.925839,0.923923,0.921746,0.930774,0.969605,0.930774,0.987719,0.974778,0.016236,0.910712,0.256031,0.228762,0.34602,0.032407,0.877805,1237.34,243.02,102.183561,20.436712,0.6604
covid,gridwise_4x4_lam0.10,0.91519,0.920624,0.92419,0.918412,0.926226,0.91546,0.91428,0.92419,0.968828,0.92419,0.987456,0.973022,0.029458,0.886159,0.323122,0.262113,0.348103,0.021957,0.876713,1689.73,331.04,121.792069,24.358414,0.6753
covid,gridwise_4x4_lam0.50,0.92275,0.92275,0.926657,0.927573,0.927573,0.922251,0.92945,0.926657,0.968137,0.926657,0.986661,0.973511,0.015742,0.908602,0.260772,0.231988,0.353814,0.009747,0.87376,1229.66,240.26,102.146227,20.429245,0.6608
