dataset,variant,final_accuracy,best_accuracy,final_balanced_accuracy,final_macro_f1,best_macro_f1,final_weighted_f1,final_precision_macro,final_recall_macro,final_specificity_macro,final_sensitivity_macro,final_roc_auc_macro,final_pr_auc_macro,final_ece,final_mean_confidence,final_mean_entropy,final_test_loss,train_ce_loss_final,train_reg_loss_final,train_accuracy_final,training_time_total,training_time_per_round,inference_time_total_sec,inference_time_per_round,secagg_overhead_mean_sec
brain_tumor_mri,no_pidl,0.955357,0.955357,0.955357,0.955597,0.955597,0.955597,0.95639,0.955357,0.985119,0.955357,0.995894,0.987959,0.014937,0.94226,0.16265,0.140849,0.268104,0.0,0.910379,360.75,68.32,28.755816,5.751163,0.6783
brain_tumor_mri,global_pidl,0.944643,0.958036,0.944643,0.944995,0.95781,0.944995,0.947847,0.944643,0.981548,0.944643,0.995401,0.987153,0.011904,0.9418,0.165812,0.172975,0.273109,0.016317,0.909933,348.83,68.2,27.761964,5.552393,0.6645
brain_tumor_mri,gridwise_4x4_lam0.10,0.952679,0.952679,0.952679,0.952381,0.952381,0.952381,0.953039,0.952679,0.984226,0.952679,0.996375,0.990505,0.026896,0.936345,0.180381,0.142912,0.27649,0.033306,0.903125,461.93,90.87,31.939477,6.387895,0.643
colon_cancer_or_pathology,no_pidl,0.9925,0.9985,0.9925,0.9925,0.9985,0.9925,0.992611,0.9925,0.9925,0.9925,1.0,1.0,0.006117,0.986383,0.03776,0.024065,0.031488,0.0,0.990875,1131.73,218.0,90.885722,18.177144,0.6552
colon_cancer_or_pathology,global_pidl,0.998,0.999,0.998,0.998,0.999,0.998,0.998008,0.998,0.998,0.998,1.0,1.0,0.00317,0.99575,0.013631,0.006727,0.030491,0.003862,0.991,1097.66,217.84,89.921632,17.984326,0.6672
colon_cancer_or_pathology,gridwise_4x4_lam0.10,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.0,1.0,0.002344,0.997156,0.010551,0.003444,0.031657,0.016146,0.98925,1347.35,255.38,98.980903,19.796181,0.677
covid,no_pidl,0.885897,0.902906,0.918097,0.882614,0.9032,0.886962,0.859023,0.918097,0.961194,0.918097,0.98394,0.968261,0.0347,0.85221,0.396604,0.330353,0.345477,0.0,0.874764,1251.55,231.93,97.763707,19.552741,0.662
covid,global_pidl,0.908812,0.908812,0.925088,0.912728,0.912728,0.909123,0.904628,0.925088,0.966797,0.925088,0.987985,0.975451,0.017988,0.890823,0.298937,0.2649,0.338123,0.004748,0.877805,1247.15,248.09,104.197061,20.839412,0.6682
covid,gridwise_4x4_lam0.10,0.91519,0.920624,0.92419,0.918412,0.926226,0.91546,0.91428,0.92419,0.968828,0.92419,0.987456,0.973022,0.029458,0.886159,0.323122,0.262113,0.348103,0.021957,0.876713,1689.73,331.04,121.792069,24.358414,0.6753
