dataset_name,num_clients,round,client_id,num_samples,train_loss,train_accuracy,train_ce_loss,train_reg_loss,train_time_sec,class_distribution
covid,3,1,aggregate,3,0.6577135781092429,0.7699326718639263,0.6577135781092429,0.0,,
covid,3,2,aggregate,3,0.5088570940128081,0.8144637373021498,0.5088570940128081,0.0,,
covid,3,3,aggregate,3,0.43096816977505814,0.8461788329789747,0.43096816977505814,0.0,,
covid,3,4,aggregate,3,0.3786326430873501,0.8620068509331443,0.3786326430873501,0.0,,
covid,3,5,aggregate,3,0.34547664995835253,0.8747637609260571,0.34547664995835253,0.0,,
