dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,3,0,COVID,0.0,0.0,0.0,723
covid,3,0,Lung_Opacity,0.2499177902005919,0.6317539484621779,0.3581526861451461,1203
covid,3,0,Normal,0.45492839090143217,0.2649656526005888,0.33488372093023255,2038
covid,3,0,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,1,COVID,0.1814749559526806,0.9972337482710927,0.30706984667802384,723
covid,3,1,Lung_Opacity,0.859375,0.0457190357439734,0.08681925808997633,1203
covid,3,1,Normal,0.9693877551020408,0.09322865554465162,0.1700984780662489,2038
covid,3,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,2,COVID,0.5586319218241043,0.9488243430152143,0.7032291132752435,723
covid,3,2,Lung_Opacity,0.855793991416309,0.828761429758936,0.8420608108108109,1203
covid,3,2,Normal,0.9335211267605634,0.8130520117762512,0.8691319171256229,2038
covid,3,2,Viral Pneumonia,0.9846153846153847,0.2379182156133829,0.38323353293413176,269
covid,3,3,COVID,0.8643852978453739,0.9432918395573997,0.9021164021164021,723
covid,3,3,Lung_Opacity,0.9150858175248419,0.8420615128844555,0.8770562770562771,1203
covid,3,3,Normal,0.9139784946236559,0.9175662414131501,0.9157688540646425,2038
covid,3,3,Viral Pneumonia,0.8831615120274914,0.9553903345724907,0.9178571428571428,269
covid,3,4,COVID,0.744973544973545,0.9737206085753803,0.8441247002398081,723
covid,3,4,Lung_Opacity,0.926829268292683,0.8212801330008312,0.870868223887175,1203
covid,3,4,Normal,0.9385964912280702,0.8925417075564279,0.9149899396378269,2038
covid,3,4,Viral Pneumonia,0.9119718309859155,0.9628252788104089,0.9367088607594937,269
covid,3,5,COVID,0.758288770053476,0.9806362378976486,0.8552472858866104,723
covid,3,5,Lung_Opacity,0.894829097283085,0.8487115544472152,0.871160409556314,1203
covid,3,5,Normal,0.955386289445049,0.8616290480863592,0.9060887512899897,2038
covid,3,5,Viral Pneumonia,0.8275862068965517,0.9814126394052045,0.8979591836734694,269
