variant,alpha,best_accuracy,best_macro_f1,final_ece,final_roc_auc
gpifl_lambda05,0.5,0.6857142857142857,0.6007836794420554,0.15629460803632222,0.954485544217687
fedavg_no_pidl,0.5,0.7035714285714286,0.6177277220731535,0.10143601577728988,0.9317570153061224
iid_reference_notebook01_3c,,0.9526785714285714,0.9523810236298784,0.0268960289391023,0.996375425170068
