dataset_name,num_clients,round,class_name,precision,recall,f1,support
colon_cancer_or_pathology,5,0,colon_aca,0.057692307692307696,0.003,0.005703422053231939,1000
colon_cancer_or_pathology,5,0,colon_n,0.4881930184804928,0.951,0.6451831750339213,1000
colon_cancer_or_pathology,5,1,colon_aca,0.8880994671403197,1.0,0.940733772342427,1000
colon_cancer_or_pathology,5,1,colon_n,1.0,0.874,0.9327641408751334,1000
colon_cancer_or_pathology,5,2,colon_aca,0.9624639076034649,1.0,0.980872976949485,1000
colon_cancer_or_pathology,5,2,colon_n,1.0,0.961,0.9801121876593575,1000
colon_cancer_or_pathology,5,3,colon_aca,0.9950248756218906,1.0,0.9975062344139651,1000
colon_cancer_or_pathology,5,3,colon_n,1.0,0.995,0.9974937343358395,1000
colon_cancer_or_pathology,5,4,colon_aca,0.999000999000999,1.0,0.9995002498750625,1000
colon_cancer_or_pathology,5,4,colon_n,1.0,0.999,0.9994997498749375,1000
colon_cancer_or_pathology,5,5,colon_aca,1.0,1.0,1.0,1000
colon_cancer_or_pathology,5,5,colon_n,1.0,1.0,1.0,1000
