dataset_name,num_clients,round,global_test_acc,balanced_accuracy,global_test_loss,ce_loss,reg_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,specificity_macro,sensitivity_macro,roc_auc_macro,pr_auc_macro,mean_confidence,mean_entropy,ece,inference_time_sec,training_time_sec,aggregation_time_sec
colon_cancer_or_pathology,5,0,0.477,0.477,1.2256888933181762,0.0,0.0,0.3254432985435766,0.477,0.3254432985435766,0.27294266308640025,0.477,0.477,0.477,0.282748,0.3703885068681374,0.8115037318468094,0.4393078458480393,0.35067573422193526,26.820499181747437,0.0,0.0
colon_cancer_or_pathology,5,1,0.937,0.937,0.13802979481220246,0.0,0.0,0.9367489566087802,0.937,0.9367489566087802,0.9440497335701599,0.937,0.937,0.937,0.999987,0.9999871668311945,0.9442349509000778,0.13214119376949635,0.016053279519081105,21.707996606826782,0.0,0.0
colon_cancer_or_pathology,5,2,0.9805,0.9804999999999999,0.03957343570701778,0.0,0.0,0.9804925823044213,0.9805,0.9804925823044213,0.9812319538017324,0.9804999999999999,0.9804999999999999,0.9804999999999999,1.0,1.0,0.9835465442240238,0.04095436193921193,0.006477457791566868,21.39591956138611,0.0,0.0
colon_cancer_or_pathology,5,3,0.9975,0.9975,0.008587555549805984,0.0,0.0,0.9974999843749024,0.9975,0.9974999843749024,0.9975124378109452,0.9975,0.9975,0.9975,1.0,1.0,0.9937227094471455,0.017458222988411088,0.004292609900236138,19.992530822753906,0.0,0.0
colon_cancer_or_pathology,5,4,0.9995,0.9995,0.0013559733967122157,0.0,0.0,0.999499999875,0.9995,0.9994999998749999,0.9995004995004995,0.9995,0.9995,0.9995,1.0,1.0,0.9989467288553715,0.003742886350778919,0.001151517361402506,22.08315420150757,0.0,0.0
colon_cancer_or_pathology,5,5,1.0,1.0,0.00113101374625694,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989707672297955,0.004317245256758642,0.0010292327702045906,20.511296033859253,0.0,0.0
