dataset_name,num_clients,round,global_test_acc,balanced_accuracy,global_test_loss,ce_loss,reg_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,specificity_macro,sensitivity_macro,roc_auc_macro,pr_auc_macro,mean_confidence,mean_entropy,ece,inference_time_sec,training_time_sec,aggregation_time_sec
colon_cancer_or_pathology,3,0,0.4945,0.4945,1.5222720031738282,0.0,0.0,0.33606328873267877,0.4945,0.33606328873267877,0.3790437861494139,0.4945,0.4945,0.4945,0.427223,0.4549801215919807,0.9007109025418758,0.277602536086495,0.40791778632998466,44.29898929595947,0.0,0.0
colon_cancer_or_pathology,3,1,0.981,0.981,0.04054311104863882,0.0,0.0,0.9809931385230068,0.981,0.9809931385230068,0.9816955684007707,0.981,0.981,0.981,0.999991,0.9999910802775025,0.9784843378663063,0.05660336417923797,0.007960900247097034,19.40399432182312,0.0,0.0
colon_cancer_or_pathology,3,2,0.979,0.979,0.04527162619866431,0.0,0.0,0.9789907349140972,0.979,0.9789907349140972,0.9798464491362764,0.979,0.979,0.979,0.999999,0.999999000999001,0.9816881296932697,0.044021610080669946,0.005294405251741419,19.838469982147217,0.0,0.0
colon_cancer_or_pathology,3,3,0.991,0.991,0.023307514676824213,0.0,0.0,0.9909992709409463,0.991,0.9909992709409462,0.9911591355599214,0.991,0.991,0.991,1.0,1.0,0.9879756319522858,0.03229883274459857,0.006837623834610004,20.98232674598694,0.0,0.0
colon_cancer_or_pathology,3,4,0.9985,0.9984999999999999,0.0056861192425712945,0.0,0.0,0.9984999966249923,0.9985,0.9984999966249924,0.9985044865403789,0.9984999999999999,0.9984999999999999,0.9984999999999999,1.0,1.0,0.9963792181313038,0.014832191044916855,0.0038702250421046936,20.55050802230835,0.0,0.0
colon_cancer_or_pathology,3,5,1.0,1.0,0.0011169686650537188,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989743853509426,0.0038912431403272606,0.0010256146490574204,19.555805683135986,0.0,0.0
