dataset_name,num_clients,round,global_test_acc,balanced_accuracy,global_test_loss,ce_loss,reg_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,specificity_macro,sensitivity_macro,roc_auc_macro,pr_auc_macro,mean_confidence,mean_entropy,ece,inference_time_sec,training_time_sec,aggregation_time_sec
colon_cancer_or_pathology,3,0,0.5005,0.5005,1.4328305225372315,0.0,0.0,0.3344434824928323,0.5005,0.3344434824928323,0.7501250625312657,0.5005,0.5005,0.5005,0.578734,0.5647288528858087,0.9203411662578582,0.24754681304113257,0.4198411662578583,23.307641983032227,0.0,0.0
colon_cancer_or_pathology,3,1,0.913,0.913,0.1700295833349228,0.0,0.0,0.9123364747775915,0.913,0.9123364747775915,0.9258943781942078,0.913,0.913,0.913,0.999999,0.999999000999001,0.9397837938964367,0.13689228365828904,0.029831344813108444,18.5232834815979,0.0,0.0
colon_cancer_or_pathology,3,2,0.995,0.995,0.01636365770548582,0.0,0.0,0.9949998749968749,0.995,0.9949998749968749,0.995049504950495,0.995,0.995,0.995,0.999994,0.9999940357852883,0.9898793658316135,0.03170397338873761,0.005438792794942851,18.20445203781128,0.0,0.0
colon_cancer_or_pathology,3,3,0.999,0.999,0.004033844602759928,0.0,0.0,0.998999998999999,0.999,0.998999998999999,0.999001996007984,0.999,0.999,0.999,0.9999999999999999,1.0,0.9969926844239235,0.01253498866927797,0.003106059432029759,17.81193256378174,0.0,0.0
colon_cancer_or_pathology,3,4,0.9995,0.9995,0.002875742940697819,0.0,0.0,0.999499999875,0.9995,0.9994999998749999,0.9995004995004995,0.9995,0.9995,0.9995,1.0,1.0,0.997705991268158,0.009669168231280525,0.002489104866981488,18.90155816078186,0.0,0.0
colon_cancer_or_pathology,3,5,1.0,1.0,0.0008732979474880267,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992327423095703,0.002776824736051176,0.0007672576904296784,17.956382989883423,0.0,0.0
