dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,3,0,COVID,0.17016654598117306,0.975103734439834,0.28976572133168926,723
covid,3,0,Lung_Opacity,0.3333333333333333,0.0016625103906899418,0.0033085194375516956,1203
covid,3,0,Normal,0.0,0.0,0.0,2038
covid,3,0,Viral Pneumonia,0.14457831325301204,0.04460966542750929,0.06818181818181818,269
covid,3,1,COVID,0.17313218390804597,1.0,0.2951622780159216,723
covid,3,1,Lung_Opacity,0.9074074074074074,0.040731504571903575,0.07796340493237867,1203
covid,3,1,Normal,1.0,0.0014720314033366045,0.002939735423811857,2038
covid,3,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,2,COVID,0.45535714285714285,0.9875518672199171,0.6233085988651244,723
covid,3,2,Lung_Opacity,0.9382183908045977,0.542809642560266,0.6877303844128488,1203
covid,3,2,Normal,0.9235127478753541,0.7998037291462218,0.8572179858006836,2038
covid,3,2,Viral Pneumonia,1.0,0.758364312267658,0.8625792811839323,269
covid,3,3,COVID,0.7776536312849162,0.9626556016597511,0.8603213844252163,723
covid,3,3,Lung_Opacity,0.8589108910891089,0.8653366583541147,0.8621118012422361,1203
covid,3,3,Normal,0.9539965497412306,0.8140333660451423,0.8784749801429707,2038
covid,3,3,Viral Pneumonia,0.689922480620155,0.9925650557620818,0.8140243902439024,269
covid,3,4,COVID,0.5605345911949685,0.9861687413554634,0.7147869674185464,723
covid,3,4,Lung_Opacity,0.9047169811320754,0.7971737323358271,0.8475475033141847,1203
covid,3,4,Normal,0.961875,0.7551521099116781,0.8460692688290269,2038
covid,3,4,Viral Pneumonia,0.8538205980066446,0.9553903345724907,0.9017543859649123,269
covid,3,5,COVID,0.9608127721335269,0.9156293222683264,0.9376770538243626,723
covid,3,5,Lung_Opacity,0.933649289099526,0.8187863674147964,0.8724534986713907,1203
covid,3,5,Normal,0.8813786929274844,0.9661432777232581,0.9218164794007491,2038
covid,3,5,Viral Pneumonia,0.9725490196078431,0.9219330855018587,0.9465648854961832,269
