dataset_name,num_clients,round,class_name,precision,recall,f1,support
covid,3,0,COVID,0.3333333333333333,0.0013831258644536654,0.0027548209366391185,723
covid,3,0,Lung_Opacity,0.3809132044426162,0.769742310889443,0.5096312603192075,1203
covid,3,0,Normal,0.6126327557294577,0.5377821393523062,0.5727724065847922,2038
covid,3,0,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,1,COVID,0.26032588101553616,0.950207468879668,0.4086853063652588,723
covid,3,1,Lung_Opacity,0.8049713193116634,0.6999168744804655,0.7487772343263672,1203
covid,3,1,Normal,0.9525547445255474,0.2561334641805692,0.4037122969837587,2038
covid,3,1,Viral Pneumonia,0.0,0.0,0.0,269
covid,3,2,COVID,0.2936344969199179,0.9889349930843707,0.45281823939202026,723
covid,3,2,Lung_Opacity,0.8532544378698225,0.5993349958437241,0.7041015625,1203
covid,3,2,Normal,0.9833101529902643,0.3469087340529931,0.5128763148349655,2038
covid,3,2,Viral Pneumonia,0.7991452991452992,0.6951672862453532,0.7435387673956262,269
covid,3,3,COVID,0.5205278592375366,0.9820193637621023,0.6804024916147581,723
covid,3,3,Lung_Opacity,0.9088263821532493,0.7788861180382377,0.8388540734109221,1203
covid,3,3,Normal,0.9632199861207494,0.6810598626104023,0.7979304397815464,2038
covid,3,3,Viral Pneumonia,0.6700251889168766,0.9888475836431226,0.7987987987987988,269
covid,3,4,COVID,0.9132791327913279,0.9322268326417704,0.9226557152635181,723
covid,3,4,Lung_Opacity,0.8508158508158508,0.9102244389027432,0.8795180722891566,1203
covid,3,4,Normal,0.9498399146211313,0.873405299313052,0.9100204498977505,2038
covid,3,4,Viral Pneumonia,0.7964071856287425,0.9888475836431226,0.8822553897180763,269
covid,3,5,COVID,0.8170310701956272,0.9820193637621023,0.8919597989949749,723
covid,3,5,Lung_Opacity,0.9095652173913044,0.8694929343308395,0.8890777730556736,1203
covid,3,5,Normal,0.9439588688946016,0.900883218842002,0.9219181521466231,2038
covid,3,5,Viral Pneumonia,0.9479553903345725,0.9479553903345725,0.9479553903345725,269
