dataset_name,num_clients,round,client_id,num_samples,train_loss,train_accuracy,train_ce_loss,train_reg_loss,train_time_sec,class_distribution
covid,3,1,aggregate,3,0.6425323469404588,0.7701393810536262,0.6413191958972355,0.012131514564495795,,
covid,3,2,aggregate,3,0.5036753949817264,0.8167670682730924,0.50269021043638,0.009851840785644599,,
covid,3,3,aggregate,3,0.4184243232099801,0.8519371604063312,0.4177487552000534,0.006755676228093116,,
covid,3,4,aggregate,3,0.3774788174463602,0.8626269785022442,0.37692950889463794,0.005493085333207759,,
covid,3,5,aggregate,3,0.33859775106304013,0.8778053390030711,0.33812299510475075,0.0047475580824140285,,
